,type,x,y
0,3,148.75273992943715,337.7632199063232
1,3,121.65053913406923,372.8297126135598
2,3,123.45509905939838,333.1004884082927
3,3,149.07312104149506,362.13802762111555
4,3,119.79925454324291,327.08644703423863
5,3,104.36413756067378,341.8423812299459
6,3,143.49219061605018,354.5668793209069
7,3,148.92366507168376,371.3657252930716
8,3,107.74522876566434,365.72208023452527
9,3,132.69216221261289,337.6840727885072
10,3,124.99332071676079,344.8515130432226
11,3,146.05204564108033,359.2185040442078
12,3,120.29764289286254,373.7483997609611
13,3,107.16604388966275,370.22885014707776
14,3,127.42430952042622,335.74663656826203
15,3,118.98352121530698,349.44340429418827
16,3,140.81209340874653,349.00469219313777
17,3,129.26647748560677,332.33781049390075
18,3,151.0522348109033,364.68532969999694
19,3,113.321182095482,335.54129154159074
20,3,149.38148074022604,357.1177966886824
21,3,147.38328675226958,368.37668741706636
22,3,106.0186678410263,356.47963610925535
23,3,144.18224315520484,353.16009406297945
24,3,128.9213110592826,330.62386267943924
25,3,116.40356873982391,333.21616324677206
26,3,146.0500157624877,362.6433251844022
27,3,138.52829527438848,334.3736021197883
28,3,135.7354753164979,351.5931716939059
29,3,134.54192091259927,345.63054262987066
30,3,123.87533849347824,362.98346688743726
31,3,113.67033333336266,363.11415013914745
32,3,101.20764611683666,359.4219923913835
33,3,102.24980889352095,367.8263454326055
34,3,106.31554298285833,340.35146444329337
35,3,121.61545845228505,358.21862054672937
36,3,125.77812410657165,373.24135803957523
37,3,114.38617558596648,372.58181824641457
38,3,113.13956355136759,335.4286218738932
39,3,121.0593076135449,346.10187814180534
40,3,116.13582094563358,360.31073428608875
41,3,105.49752047858907,353.84553719928937
42,3,117.47760846153285,330.1556436021854
43,3,145.0534636383849,367.95493587999323
44,3,106.72589943257888,352.5689424114794
45,3,112.4063947779564,345.09933058562126
46,3,116.82855182901481,334.8275116185429
47,3,126.81254627052341,339.6415183480802
48,3,103.42110746745445,370.75244028871197
49,3,150.45499530976866,336.94700964846
50,3,151.09873227557213,324.6081102044798
51,3,139.8494360112939,359.4558263040368
52,3,118.6874012610888,373.6957825042876
53,3,101.67770621700224,360.1949998535158
54,3,105.67488578138484,344.1557127400559
55,3,112.4980215846347,359.1019014562851
56,3,109.06680879527747,366.1884528530997
57,3,107.42039822229363,334.18437068251296
58,3,131.9631677768778,340.8812126111282
59,3,131.8316977466427,333.5332659528235
60,3,116.37200489382654,367.74999315519165
61,3,115.3254960312938,332.1909218767742
62,3,115.62985724651368,346.94938260768987
63,3,142.2397873373044,349.928768556017
64,3,140.1576274924944,357.71994234744284
65,3,109.18819318451361,343.7745996742289
66,3,101.5822552331666,347.481856950053
67,3,114.20515594034727,337.17473405565715
68,3,136.403331579896,325.032107389059
69,3,133.30214183591033,328.4551519781182
70,3,119.8916007619909,361.30484403552566
71,3,109.94398470869581,360.7531188852569
72,3,120.61236557963653,372.24070853841397
73,3,105.86968594626026,352.0731538590015
74,3,133.17461727400953,360.9992953835168
75,3,129.61341280039082,373.6748266080816
76,3,150.26573488463862,334.93098738937596
77,3,123.11098964476585,324.4858463748659
78,3,113.61946018684176,340.3890200715449
79,3,104.309724095429,339.4128836913015
0,3,30.195284517421552,281.780119942716
1,3,53.719956015871304,319.20843808165125
2,3,26.86940353414779,301.3876879474679
3,3,33.42325392772098,318.52578768186464
4,3,57.90058392494439,296.995209858009
5,3,67.36407338364768,295.9834297142097
6,3,30.24334768594006,317.68447387222426
7,3,71.34742377967116,309.76318953205237
8,3,45.32319802682284,281.0309477443802
9,3,37.38527845997995,295.2020715470882
10,3,45.113223753356415,280.65625679196535
11,3,28.23442684283026,318.98175662595446
12,3,69.96381100783863,304.72822980694247
13,3,49.53257144963201,311.4320369706507
14,3,51.708626932385556,304.7947559596228
15,3,72.68003637509356,319.07993967099833
16,3,43.80477458801123,311.32943475350913
17,3,46.036274524982865,313.1938514564397
18,3,58.879586493347915,309.4374340414311
19,3,26.470728639174947,324.1574550449261
20,3,66.05151212256455,291.1569562292091
21,3,51.50653186814284,303.9631288197135
22,3,49.74073157026663,311.2149569766969
23,3,49.51276641310944,284.165326756078
