#,Class,x [um],y [um]
1,1,355.416,344.372
2,1,357.926,384.030
3,1,383.528,381.018
4,1,311.742,377.002
5,1,352.404,563.746
6,1,362.444,456.820
7,1,357.424,428.206
8,1,388.046,620.472
9,1,390.054,500.494
10,1,335.838,508.526
11,1,398.086,443.768
12,1,676.194,311.742
13,1,616.958,370.978
14,1,682.720,389.552
15,1,417.664,438.246
16,1,762.036,427.704
17,1,754.004,440.756
18,1,709.326,453.306
19,1,467.864,676.194
20,1,512.040,788.140
21,1,455.816,641.556
22,1,435.736,633.524
23,1,416.158,618.966
24,1,496.980,756.012
25,1,397.082,456.318
26,1,383.026,455.816
27,1,334.332,368.970
28,1,333.830,440.756
29,1,356.420,411.138
30,1,340.356,419.170
31,1,348.890,412.142
32,1,324.794,537.642
33,1,392.564,540.654
34,1,398.588,533.124
35,1,341.360,475.394
36,1,328.810,452.302
37,1,324.794,467.362
38,1,326.300,574.790
39,1,532.120,612.440
40,1,457.322,366.460
41,1,363.950,584.830
42,1,387.042,475.394
43,1,365.456,366.962
44,1,511.538,492.964
45,1,571.778,479.912
46,1,570.774,513.546
47,1,366.962,545.674
48,1,452.804,568.264
49,1,422.182,499.490
50,1,440.756,515.554
51,1,585.834,476.398
52,1,421.680,692.760
53,1,522.582,701.796
54,1,476.900,718.362
55,1,547.180,736.434
56,1,637.540,774.084
57,1,664.146,749.486
58,1,696.274,736.434
59,1,482.422,674.186
60,1,458.828,662.138
61,1,395.074,626.998
62,1,579.810,629.508
63,1,575.292,671.174
64,1,522.582,801.694
65,1,435.736,732.920
66,1,416.660,754.004
67,1,548.184,693.262
68,1,544.168,690.250
69,1,569.770,751.494
70,1,654.106,737.940
71,1,625.492,797.176
72,1,678.704,658.122
73,1,625.492,647.580
74,1,474.390,654.608
75,1,724.888,625.994
76,1,779.606,708.824
77,1,800.690,723.884
78,1,784.626,665.652
79,1,648.584,718.362
80,1,606.416,717.860
81,1,577.802,708.824
82,1,535.132,705.310
83,1,523.586,631.014
84,1,687.740,456.318
85,1,800.188,441.258
86,1,774.586,599.890
87,1,564.248,657.620
88,1,573.786,659.628
89,1,663.644,707.318
90,1,700.792,623.986
91,1,770.068,511.036
92,1,759.526,500.494
93,1,513.044,705.310
94,1,517.562,710.330
95,1,581.818,687.740
96,1,687.238,625.994
97,1,740.952,676.696
98,1,699.788,697.278
99,1,759.526,517.562
100,1,761.534,442.262
101,1,425.696,701.294
102,1,432.724,772.076
103,1,506.518,759.526
104,1,448.286,800.690
105,1,461.338,797.176
106,1,460.334,738.442
107,1,364.954,693.262
108,1,346.380,638.042
109,1,388.548,635.030
110,1,400.094,598.384
111,1,471.378,601.396
112,1,582.822,795.670
113,1,395.074,645.572
114,1,480.916,622.982
115,1,444.772,634.026
116,1,470.876,629.006
117,1,488.948,632.520
118,1,521.076,660.130
119,1,482.422,661.636
120,1,405.616,633.524
121,2,348.388,777.096
122,2,347.886,540.654
123,2,582.320,333.830
124,2,584.328,307.726
125,2,546.678,304.714
