#,Class,x [um],y [um]
1,1,144.074,329.312
2,1,35.140,317.766
3,1,54.718,214.856
4,1,16.064,177.206
5,1,263.550,199.294
6,1,278.610,193.772
7,1,286.140,217.868
8,1,273.590,252.004
9,1,293.168,229.916
10,1,325.296,190.760
11,1,33.634,485.936
12,1,69.276,443.266
13,1,176.704,462.342
14,1,163.150,438.246
15,1,446.278,18.574
16,1,399.592,283.630
17,1,388.046,351.902
18,1,456.820,348.388
19,1,493.968,441.760
20,1,433.226,426.198
21,1,31.124,193.270
22,1,108.432,205.820
23,1,272.084,184.736
24,1,274.594,267.064
25,1,199.294,274.594
26,1,142.066,78.814
27,1,114.456,72.790
28,1,154.616,67.268
29,1,152.608,78.814
30,1,214.354,149.094
31,1,284.634,186.744
32,1,200.800,226.904
33,1,38.654,220.880
34,1,11.546,282.626
35,1,95.380,273.088
36,1,90.862,295.176
37,1,53.714,288.650
38,1,91.364,169.676
39,1,84.838,172.688
40,1,43.674,186.744
41,1,18.072,25.100
42,1,108.432,41.666
43,1,101.906,48.694
44,1,67.770,83.332
45,1,64.256,110.942
46,1,107.930,134.536
47,1,51.706,139.054
48,1,40.160,137.046
49,1,20.582,142.066
50,1,5.020,144.576
51,1,274.594,120.982
52,1,271.582,111.946
53,1,60.240,171.182
54,1,227.908,188.250
55,1,60.742,275.096
56,1,31.626,243.972
57,1,19.076,246.482
58,1,60.742,188.250
59,1,246.482,149.596
60,1,292.164,121.986
61,1,79.818,106.926
62,1,3.514,260.538
63,1,179.716,293.670
64,1,206.824,245.478
65,1,280.116,210.338
66,1,37.148,274.092
67,1,151.102,8.032
68,1,90.360,92.870
69,1,28.614,84.838
70,1,217.366,7.530
71,1,197.286,34.638
72,1,277.104,130.520
73,1,283.630,145.580
74,1,151.102,202.306
75,1,232.426,34.638
76,1,10.542,191.764
77,1,87.348,235.438
78,1,290.658,195.278
79,1,201.804,82.328
80,1,12.550,232.426
81,1,2.510,240.960
82,1,271.582,240.458
83,1,113.452,226.402
84,1,115.962,217.366
85,1,232.426,115.460
86,1,274.594,96.886
87,1,185.238,79.818
88,1,280.116,161.142
89,1,281.120,155.620
90,1,289.654,155.620
91,1,289.654,135.038
92,1,18.072,187.246
93,1,37.650,234.936
94,1,172.688,272.586
95,1,183.230,284.132
96,1,220.378,215.358
97,1,206.824,185.740
98,1,187.748,194.776
99,1,29.116,257.024
100,1,42.670,291.160
101,1,45.682,281.120
102,1,44.176,268.570
103,1,3.012,273.590
104,1,3.012,293.168
105,1,216.864,261.040
106,1,196.282,262.044
107,1,180.720,262.546
108,1,228.410,215.860
109,1,260.036,179.716
110,1,219.876,237.446
111,1,215.860,243.972
112,1,224.896,249.996
113,1,277.104,229.414
114,1,283.630,112.950
115,1,244.474,21.084
116,1,269.574,41.164
117,1,240.960,31.626
118,1,124.496,94.878
119,1,3.012,208.832
120,1,11.044,202.808
121,1,61.746,234.936
122,1,53.714,246.482
123,1,63.252,246.984
124,1,291.160,289.152
125,1,155.118,215.860
126,1,164.154,293.670
127,1,339.854,168.170
128,1,337.846,123.994
129,1,346.882,104.416
130,1,400.094,102.910
131,1,462.342,117.468
132,1,477.904,139.054
133,1,412.142,245.478
134,1,374.994,206.322
135,1,375.496,197.286
136,1,92.870,318.268
137,1,92.368,360.938
138,1,62.248,367.464
139,1,64.758,331.822
140,1,126.002,328.308
141,1,111.946,309.734
142,1,234.936,357.424
143,1,121.484,399.592
144,1,25.100,358.428
145,1,11.546,326.802
146,1,30.120,418.668
147,1,26.104,472.884
148,1,48.192,471.880
149,1,60.240,470.876
150,1,161.142,478.406
151,1,257.024,344.372
152,1,255.518,337.846
153,1,152.608,341.360
154,1,183.732,352.404
155,1,161.644,362.946
156,1,153.612,367.464
157,1,153.110,394.572
158,1,124.496,442.764
159,1,69.778,346.380
160,1,42.670,360.938
161,1,3.514,380.014
162,1,42.670,327.304
163,1,42.670,315.758
164,1,81.826,438.246
165,1,72.288,492.462
166,1,60.240,494.972
167,1,145.580,495.976
168,1,156.624,498.486
169,1,136.042,496.478
170,1,135.038,465.856
171,1,122.990,462.342
172,1,117.970,451.800
173,1,100.400,472.884
174,1,90.862,470.876
175,1,96.384,453.306
176,1,76.806,381.520
177,1,31.626,403.106
178,1,56.726,321.782
179,1,11.044,358.428
180,1,17.068,452.302
181,1,95.882,484.430
182,1,116.464,357.424
183,1,262.546,301.702
184,1,254.012,306.722
185,1,208.330,299.694
186,1,42.168,300.698
187,1,194.274,444.270
188,1,185.238,438.246
189,1,174.194,487.944
190,1,203.310,319.272
191,1,218.370,343.870
192,1,57.228,399.090
193,1,25.100,334.332
194,1,5.522,338.850
195,1,184.736,378.006
196,1,148.592,464.852
197,1,91.364,413.146
198,1,34.638,442.764
199,1,183.230,495.976
200,1,233.430,402.604
201,1,236.944,322.786
202,1,241.462,329.814
203,1,20.582,367.966
204,1,111.444,322.284
205,1,89.356,446.278
206,1,313.248,294.674
207,1,331.320,374.994
208,1,312.746,361.942
209,1,333.328,432.724
210,1,349.392,435.736
211,1,363.950,445.274
212,1,341.862,485.936
213,1,470.876,369.974
214,1,453.808,330.818
215,1,439.752,286.642
216,1,338.348,295.176
217,1,336.842,335.336
218,1,317.264,336.340
219,1,329.814,304.714
220,1,301.200,404.612
221,1,383.528,454.310
222,1,403.608,409.130
223,1,482.924,395.074
224,1,424.692,353.910
225,1,445.274,302.706
226,1,346.380,305.216
227,1,356.922,297.686
228,1,329.814,405.616
229,1,374.492,420.174
230,1,428.708,360.938
231,1,381.018,293.168
232,1,327.304,320.276
233,1,352.906,393.568
234,1,380.516,374.492
235,1,321.782,363.950
236,1,323.288,372.986
237,1,392.564,360.436
238,1,471.378,449.290
239,1,479.410,423.688
240,1,375.496,256.522
241,1,382.524,255.518
242,1,498.988,295.678
243,1,371.480,336.842
244,1,338.348,362.444
245,1,286.140,486.438
246,1,473.386,383.026
247,1,405.114,400.596
248,1,416.660,133.532
249,1,360.436,91.866
250,1,321.782,136.042
251,1,316.762,109.436
252,1,412.644,67.268
253,1,372.484,50.200
254,1,367.966,137.548
255,1,375.496,151.604
256,1,371.480,158.632
257,1,330.818,153.612
258,1,441.258,155.118
259,1,440.756,140.058
260,1,469.872,86.846
261,1,404.612,205.820
262,1,393.568,202.808
263,1,365.958,237.446
264,1,361.942,220.378
265,1,314.252,249.996
266,1,300.196,238.952
267,1,325.296,214.354
268,1,358.930,137.046
269,1,323.790,123.492
270,1,316.762,181.724
271,1,463.346,59.236
272,2,156.122,307.726
273,2,112.950,339.854
274,2,102.408,244.976
275,2,46.184,242.968
276,2,178.712,312.244
277,2,148.090,272.586
278,2,35.642,46.184
279,2,147.588,51.706
280,2,152.106,17.068
281,2,292.666,38.654
282,2,244.976,432.222
283,2,14.056,427.704
284,2,480.916,308.730
285,2,31.626,7.530
286,2,39.156,19.578
287,2,22.088,49.196
288,2,13.052,49.196
289,2,8.032,41.164
290,2,44.678,35.642
291,2,59.738,39.156
292,2,50.702,51.204
293,2,42.670,58.734
294,2,33.132,69.276
295,2,16.064,76.806
296,2,15.060,63.754
297,2,5.020,62.248
298,2,4.518,79.818
299,2,28.614,56.726
300,2,19.076,98.392
301,2,13.554,107.930
302,2,19.076,115.962
303,2,70.782,70.280
304,2,85.340,65.260
305,2,76.304,49.698
306,2,84.838,47.690
307,2,81.826,35.642
308,2,81.324,27.610
309,2,69.778,30.120
310,2,53.714,16.064
311,2,64.758,7.028
312,2,45.682,10.040
313,2,21.084,12.048
314,2,9.036,8.534
315,2,8.032,17.068
316,2,108.432,23.092
317,2,100.400,26.104
318,2,94.376,35.642
319,2,82.830,9.036
320,2,100.400,77.810
321,2,90.360,79.316
322,2,83.834,77.308
323,2,105.922,87.850
324,2,109.436,79.316
325,2,114.958,85.842
326,2,112.448,96.384
327,2,98.392,101.404
328,2,53.714,90.360
329,2,130.520,54.216
330,2,123.994,48.192
331,2,120.982,34.638
332,2,110.942,51.204
333,2,135.540,25.100
334,2,131.022,22.590
335,2,121.986,16.064
336,2,159.636,29.618
337,2,163.150,16.064
338,2,167.668,7.028
339,2,180.218,5.020
340,2,191.764,7.530
341,2,142.066,44.176
342,2,154.616,43.172
343,2,143.070,33.132
344,2,207.326,29.116
345,2,170.680,37.148
346,2,173.692,23.092
347,2,164.656,49.698
348,2,170.680,57.228
349,2,179.214,62.750
350,2,176.704,69.778
351,2,193.772,62.248
352,2,185.238,52.710
353,2,216.362,45.682
354,2,226.904,49.698
355,2,127.508,70.280
356,2,112.448,62.248
357,2,139.054,66.264
358,2,222.386,24.598
359,2,197.788,22.088
360,2,238.450,10.542
361,2,268.570,31.626
362,2,254.012,35.642
363,2,275.598,21.084
364,2,281.622,32.128
365,2,285.638,22.590
366,2,280.618,15.060
367,2,269.574,55.722
368,2,246.482,64.256
369,2,208.832,60.742
370,2,259.534,56.224
371,2,113.452,173.692
372,2,105.420,184.736
373,2,90.360,196.784
374,2,81.826,202.306
375,2,69.276,203.310
376,2,55.220,203.812
377,2,61.746,196.282
378,2,33.132,208.832
379,2,23.092,217.868
380,2,19.076,227.908
381,2,30.622,227.908
382,2,54.718,225.398
383,2,54.216,234.434
384,2,27.610,266.060
385,2,42.670,257.526
386,2,25.100,284.132
387,2,17.570,269.574
388,2,106.926,286.642
389,2,108.432,293.168
390,2,126.504,201.302
391,2,87.348,224.394
392,2,76.806,220.378
393,2,76.304,233.430
394,2,74.798,244.976
395,2,71.786,263.048
396,2,75.300,271.582
397,2,80.822,280.116
398,2,74.798,291.160
399,2,58.232,267.064
400,2,28.614,294.674
401,2,14.558,293.670
402,2,160.640,158.632
403,2,161.142,171.182
404,2,169.676,168.170
405,2,175.700,162.648
406,2,185.238,177.708
407,2,172.688,186.744
408,2,140.560,188.752
409,2,162.648,194.776
410,2,178.712,195.278
411,2,171.182,204.314
412,2,151.102,224.394
413,2,140.560,237.948
414,2,154.114,236.442
415,2,146.584,249.494
416,2,142.568,257.526
417,2,133.532,256.020
418,2,117.970,246.482
419,2,120.480,257.526
420,2,105.420,273.088
421,2,128.010,288.148
422,2,156.122,263.048
423,2,173.692,264.554
424,2,168.672,222.386
425,2,177.708,215.860
426,2,197.286,198.792
427,2,199.294,165.660
428,2,222.888,171.182
429,2,242.968,171.182
430,2,247.988,181.222
431,2,211.342,167.668
432,2,257.526,189.254
433,2,241.462,191.262
434,2,249.996,217.868
435,2,229.414,227.406
436,2,234.936,239.956
437,2,283.128,277.606
438,2,283.630,246.482
439,2,286.642,237.948
440,2,204.816,235.940
441,2,208.832,219.876
442,2,164.154,284.634
443,2,194.776,287.144
444,2,200.800,287.144
445,2,212.848,284.132
446,2,219.876,292.666
447,2,221.884,274.594
448,2,274.594,285.638
449,2,246.984,268.068
450,2,249.494,231.924
451,2,232.426,204.816
452,2,149.094,187.748
453,2,115.460,190.760
454,2,83.332,247.988
455,2,49.698,254.012
456,2,19.076,258.530
457,2,8.534,218.370
458,2,10.542,90.862
459,2,231.924,70.782
460,2,222.888,61.746
461,2,263.048,20.582
462,2,291.160,10.542
463,2,282.626,6.526
464,2,125.500,6.526
465,2,138.050,9.538
466,2,72.288,20.582
467,2,51.204,116.966
468,2,155.620,94.376
469,2,144.074,91.866
470,2,210.338,74.798
471,2,198.792,75.802
472,2,203.310,47.188
473,2,185.740,32.630
474,2,248.992,203.310
475,2,228.410,258.530
476,2,204.816,252.004
477,2,247.486,284.634
478,2,138.050,176.704
479,2,87.348,182.226
480,2,97.388,219.374
481,2,109.938,260.538
482,2,86.344,262.546
483,2,129.516,277.104
484,2,142.066,208.832
485,2,324.794,47.690
486,2,309.232,51.706
487,2,298.188,51.204
488,2,290.658,55.220
489,2,303.710,23.092
490,2,315.758,26.606
491,2,322.786,31.626
492,2,343.368,26.606
493,2,332.324,25.602
494,2,371.480,24.096
495,2,381.520,88.854
496,2,433.226,86.846
497,2,323.790,145.580
498,2,295.678,181.222
499,2,271.080,173.190
500,2,306.220,233.430
501,2,303.710,277.104
502,2,342.364,179.716
503,2,426.700,124.998
504,2,428.206,110.440
505,2,410.636,115.962
506,2,467.864,150.600
507,2,447.784,187.748
508,2,464.350,197.286
509,2,437.744,210.338
510,2,417.162,219.374
511,2,458.326,238.450
512,2,486.438,216.362
513,2,478.908,222.888
514,2,472.884,275.598
515,2,496.478,271.582
516,2,447.282,255.518
517,2,453.306,254.012
518,2,442.262,271.582
519,2,454.310,275.096
520,2,427.704,241.964
521,2,360.436,268.570
522,2,353.910,234.936
523,2,496.478,199.294
524,2,448.788,164.154
525,2,393.568,189.254
526,2,304.212,40.160
527,2,297.184,29.116
528,2,396.078,21.586
529,2,386.038,23.092
530,2,353.910,22.088
531,2,403.608,47.690
532,2,393.568,111.946
533,2,391.058,217.868
534,2,381.520,215.860
535,2,381.018,227.406
536,2,375.998,236.944
537,2,374.994,223.892
538,2,436.740,235.940
539,2,430.214,249.996
540,2,477.904,200.298
541,2,479.410,194.274
542,2,463.848,264.052
543,2,482.422,268.068
544,2,405.114,270.578
545,2,397.584,272.084
546,2,396.078,263.048
547,2,387.042,257.024
548,2,378.508,274.594
549,2,353.910,278.610
550,2,342.364,280.618
551,2,297.184,261.542
552,2,286.642,257.526
553,2,331.320,104.416
554,2,389.050,96.384
555,2,481.920,156.122
556,2,472.884,242.968
557,2,474.892,257.024
558,2,498.486,258.028
559,2,494.470,246.482
560,2,312.244,168.672
561,2,289.654,167.166
562,2,243.972,50.200
563,2,246.984,42.168
564,2,316.762,42.670
565,2,306.220,185.238
566,2,307.224,219.876
567,2,417.162,188.752
568,2,467.362,215.860
569,2,459.330,213.852
570,2,496.980,183.230
571,2,489.952,120.480
572,2,495.474,81.826
573,2,480.916,82.830
574,2,428.206,19.076
575,2,395.576,255.518
576,2,441.258,277.606
577,2,420.174,240.458
578,2,305.718,202.306
579,2,296.682,200.298
580,2,309.232,121.484
581,2,259.534,151.604
582,2,283.128,179.214
583,2,420.174,207.326
584,2,409.632,195.278
585,2,110.440,310.236
586,2,77.810,311.240
587,2,78.312,324.794
588,2,52.710,305.718
589,2,57.730,298.188
590,2,20.582,316.762
591,2,47.188,337.344
592,2,32.630,336.340
593,2,8.032,306.220
594,2,31.124,351.400
595,2,8.032,349.894
596,2,61.244,354.412
597,2,50.702,359.934
598,2,50.702,349.392
599,2,14.558,398.588
600,2,200.800,416.660
601,2,208.330,378.006
602,2,196.784,386.540
603,2,165.660,379.512
604,2,137.548,366.962
605,2,124.496,372.484
606,2,135.540,351.902
607,2,125.500,355.918
608,2,162.146,329.312
609,2,179.214,323.790
610,2,169.676,339.352
611,2,183.230,336.340
612,2,136.042,320.276
613,2,132.528,307.726
614,2,140.560,307.224
615,2,119.978,304.714
616,2,124.496,317.264
617,2,101.404,331.822
618,2,99.396,328.810
619,2,85.340,345.878
620,2,99.396,342.364
621,2,80.822,336.842
622,2,83.332,359.432
623,2,71.284,360.436
624,2,52.710,376.500
625,2,44.176,368.970
626,2,28.614,378.006
627,2,41.666,388.548
628,2,29.618,390.054
629,2,55.220,408.126
630,2,53.714,422.182
631,2,43.674,408.126
632,2,48.192,395.074
633,2,83.332,391.058
634,2,64.758,391.058
635,2,69.778,406.118
636,2,72.790,419.672
637,2,53.212,434.732
638,2,47.690,448.788
639,2,41.666,457.322
640,2,33.634,456.820
641,2,36.144,466.358
642,2,9.036,468.366
643,2,14.056,490.454
644,2,11.546,478.908
645,2,42.168,485.434
646,2,42.670,500.494
647,2,149.094,486.940
648,2,117.970,419.672
649,2,102.910,405.114
650,2,94.878,392.062
651,2,92.368,382.022
652,2,101.404,369.974
653,2,121.986,388.548
654,2,106.926,385.034
655,2,131.022,399.090
656,2,148.592,351.400
657,2,171.684,353.408
658,2,149.596,322.284
659,2,128.512,340.356
660,2,122.488,339.854
661,2,81.826,301.200
662,2,21.084,415.154
663,2,38.152,433.728
664,2,9.036,440.756
665,2,124.496,478.406
666,2,108.432,492.462
667,2,95.882,500.494
668,2,245.478,383.528
669,2,182.728,393.066
670,2,157.628,412.644
671,2,150.600,406.118
672,2,128.512,425.696
673,2,132.528,383.026
674,2,104.416,426.700
675,2,106.424,445.274
676,2,203.310,359.934
677,2,276.602,300.698
678,2,230.418,313.750
